,tanb,Lambda2,Lambda4,uv_ef
77,7.6856100000000005,0.254474,-1.29954,63159.0
78,0.7686149999999999,1.17303,1.3989200000000002,14599.0
79,6.554889999999999,0.18970499999999998,0.556493,43793.0
80,0.584937,1.63982,1.44281,4866.5
81,7.837739999999999,0.127822,1.9999799999999999,7018.6
82,5.0058300000000004,0.254773,1.74026,30365.0
83,3.2004799999999998,0.8370860000000001,-1.36486,568360.0
84,1.9637799999999999,0.51584,1.71682,14599.0
85,2.19068,0.540959,0.795508,819690.0
86,0.931789,1.9897599999999998,0.246948,14599.0
87,1.84726,1.6483700000000001,-0.21661799999999998,43793.0
88,1.29456,0.656018,-0.755174,63159.0
89,1.01357,0.613007,-1.00102,63159.0
90,0.9214889999999999,1.9160400000000002,1.01286,2339.7
91,1.1757,1.1976,1.21824,2339.7
92,1.7559799999999999,0.816509,1.73154,10122.0
93,0.586387,1.5870600000000001,1.7723900000000001,1622.3
94,1.2892,1.72692,-0.942041,63159.0
95,4.92861,0.42976000000000003,1.56359,21054.0
96,6.52345,0.0751836,0.504533,4866.5
97,0.8865069999999999,1.1151,1.3090899999999999,4866.5
98,0.782738,0.737341,0.46779499999999996,7018.6
99,1.86325,1.5040200000000001,-0.42819799999999997,14599.0
100,1.26681,1.6504,0.117841,10122.0
101,0.896942,0.792154,0.702346,4866.5
102,4.75856,0.186962,0.7152189999999999,4866.5
103,0.9946940000000001,1.41028,0.8364739999999999,43793.0
104,1.2904200000000001,1.03302,-0.131852,394080.0
105,0.9867,1.7196599999999997,0.763537,4866.5
106,1.05021,0.38595300000000005,0.6137239999999999,14599.0
107,6.86625,0.0509793,0.894669,131370.0
108,3.13866,0.499968,1.6489599999999998,131370.0
109,2.0482400000000003,0.039730699999999994,1.83402,3374.3
110,1.00699,1.45042,0.9574799999999999,131370.0
111,0.8194370000000001,1.5154,1.47054,14599.0
112,1.4415799999999999,1.09798,0.14536,273250.0
113,1.04376,0.181835,1.52549,4866.5
114,1.39018,1.24253,0.163129,21054.0
115,0.864149,1.7198799999999999,0.427045,189460.0
116,0.745366,1.86837,0.418023,4866.5
